idDados,dataHora,percCPU,tempoInativo,percRAM,percDisc,usedDisc,fkNotebook
1,2024-09-24 15:16:14.444068,2200.0,2200.0,71.5,47.6,233357754368,101
2,2024-09-24 15:16:16.507436,2200.0,2200.0,71.5,47.6,233358245888,101
3,2024-09-24 15:16:18.533168,2200.0,2200.0,71.4,47.6,233357811712,101
4,2024-09-24 15:16:20.569905,2200.0,2200.0,71.3,47.6,233358401536,101
5,2024-09-24 15:16:22.609402,2200.0,2200.0,71.2,47.6,233358438400,101
