idDados,dataHora,percCPU,tempoInativo,percRAM,percDisc,usedDisc,fkNotebook
1,2024-09-24 15:15:52.327256,2200.0,2200.0,70.5,47.6,233349955584,101
2,2024-09-24 15:15:54.377547,2200.0,2200.0,70.5,47.6,233350844416,101
3,2024-09-24 15:15:56.388083,2200.0,2200.0,70.5,47.6,233351290880,101
4,2024-09-24 15:15:58.405067,2200.0,2200.0,70.5,47.6,233351983104,101
5,2024-09-24 15:16:00.424686,2200.0,2200.0,70.5,47.6,233354162176,101
