idDados,dataHora,percCPU,tempoInativo,percRAM,percDisc,usedDisc,fkNotebook
1,2024-09-24 21:00:25.450487,2200.0,2200.0,74.7,47.7,233869180928,101
2,2024-09-24 21:00:27.487600,2200.0,2200.0,74.8,47.7,233869873152,101
3,2024-09-24 21:00:29.515440,1466.0,1466.0,74.7,47.7,233869271040,101
4,2024-09-24 21:00:31.533983,2200.0,2200.0,74.7,47.7,233869897728,101
5,2024-09-24 21:00:33.550076,2200.0,2200.0,74.6,47.7,233869271040,101
