idDados,dataHora,percCPU,tempoInativo,percRAM,percDisc,usedDisc,fkNotebook
1,2024-09-24 15:29:15.907028,2200.0,2200.0,71.1,47.6,233545666560,101
2,2024-09-24 15:29:17.959573,2200.0,2200.0,71.1,47.6,233546227712,101
3,2024-09-24 15:29:19.975204,2200.0,2200.0,71.2,47.6,233545703424,101
4,2024-09-24 15:29:21.990249,2200.0,2200.0,71.2,47.6,233546289152,101
5,2024-09-24 15:29:24.006573,2200.0,2200.0,71.2,47.6,233545658368,101
