idDados,dataHora,percCPU,tempoInativo,percRAM,percDisc,usedDisc,fkNotebook
1,2024-09-28 22:10:23.989440,2200.0,2200.0,72.8,49.0,240481386496,101
2,2024-09-28 22:10:26.004672,1466.0,1466.0,72.7,49.0,240480935936,101
3,2024-09-28 22:10:28.024882,2200.0,2200.0,72.7,49.0,240481587200,101
4,2024-09-28 22:10:30.040260,2200.0,2200.0,72.7,49.0,240482402304,101
5,2024-09-28 22:10:32.055884,2200.0,2200.0,72.4,49.0,240484429824,101
